Player,Team,position,game_id,game_date,home_team,away_team,G,A1,A2,PTS,PrPTS,GS,SOG,eGF,eGA,GF.,PPG,PPA1,PPA2,SHG,SHA1,SHA2,FOW,FOL,PIM,Blk,TO,SV,GA
Bray Ketchum,MET,F,18507437,2017-12-17,BOS,MET,0,1,1,2,1,1.4400000000000002,3,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
Corey  Stearns,BOS,F,18507437,2017-12-17,BOS,MET,0,1,0,1,1,0.28,0,1,1,0.5,0,0,0,0,0,0,6,9,0,0,0,0,0
Emily Field,BOS,F,18507437,2017-12-17,BOS,MET,0,0,0,0,0,-0.009999999999999995,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Erika  Lawler,MET,F,18507437,2017-12-17,BOS,MET,1,0,0,1,1,0.93,2,0,1,0,1,0,0,0,0,0,9,10,2,0,0,0,0
Harrison Browne,MET,F,18507437,2017-12-17,BOS,MET,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heather  Schwarz,BOS,F,18507437,2017-12-17,BOS,MET,0,0,0,0,0,0.11,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Janine Weber,BOS,F,18507437,2017-12-17,BOS,MET,1,0,0,1,1,0.8200000000000001,1,1,0,1,0,0,0,0,0,0,4,5,2,0,0,0,0
Janine Weber,MET,F,18507437,2017-12-17,BOS,MET,1,0,0,1,1,0.8200000000000001,1,1,0,1,0,0,0,0,0,0,4,5,2,0,0,0,0
Jillian Dempsey,BOS,F,18507437,2017-12-17,BOS,MET,0,0,0,0,0,0.8,4,0,1,0,0,0,0,0,0,0,14,11,0,2,0,0,0
Jordan Smelker,BOS,F,18507437,2017-12-17,BOS,MET,0,0,0,0,0,-0.06000000000000001,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Kathryn Tomaselli,BOS,F,18507437,2017-12-17,BOS,MET,0,1,0,1,1,0.75,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Packer,MET,F,18507437,2017-12-17,BOS,MET,0,1,0,1,1,1.2000000000000002,4,0,0,NA,0,1,0,0,0,0,1,0,0,0,0,0,0
Mary Parker,BOS,F,18507437,2017-12-17,BOS,MET,0,0,0,0,0,0.04999999999999999,2,1,1,0.5,0,0,0,0,0,0,0,0,2,0,0,0,0
Miye D'Oench,MET,F,18507437,2017-12-17,BOS,MET,1,0,0,1,1,1.21,3,2,1,0.6666666666666666,0,0,0,0,0,0,0,1,0,1,0,0,0
Rebecca Russo,MET,F,18507437,2017-12-17,BOS,MET,0,0,1,1,0,0.86,2,0,2,0,0,0,1,0,0,0,1,1,0,0,1,0,0
Tatiana Rafter,MET,F,18507437,2017-12-17,BOS,MET,0,0,0,0,0,-0.36,0,0,0,NA,0,0,0,0,0,0,3,6,0,0,0,0,0
Kaleigh Fratkin,BOS,F|D,18507437,2017-12-17,BOS,MET,0,0,0,0,0,-0.06000000000000001,1,1,1,0.5,0,0,0,0,0,0,0,0,2,2,0,0,0
Brittany Ott,BOS,G,18507437,2017-12-17,BOS,MET,0,0,0,0,0,0.4800000000000004,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,32,4
Katie  Fitzgerald,MET,G,18507437,2017-12-17,BOS,MET,0,0,0,0,0,0.8000000000000003,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,20,2
 Kelsey  Koelzer,MET,D,18507441,2018-01-21,BOS,MET,1,1,1,3,2,2.2800000000000002,0,1,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0
